Flight_Number,Date,Origin,Destination,Aircraft_Type,Passengers,Delay_Minutes,Delay_Reason,Cancelled
DL1001,2026-02-05,ATL,LHR,A350,289,120,Weather,N
DL1002,2026-02-17,ATL,LHR,A220,163,75,Weather,N
DL1003,2026-02-14,ATL,LHR,A220,197,0,None,N
DL1004,2026-02-02,ATL,LHR,A350,196,0,None,N
DL1005,2026-02-18,ATL,LHR,B757,286,25,Air Traffic Control,N
DL1006,2026-02-18,ATL,LHR,A350,280,35,Air Traffic Control,N
DL1007,2026-02-19,ATL,LHR,A321,220,120,Air Traffic Control,N
DL1008,2026-02-19,ATL,LHR,B767,203,0,None,N
DL1009,2026-02-23,ATL,LHR,A321,227,45,Air Traffic Control,N
DL1010,2026-02-10,ATL,LHR,B767,227,120,Air Traffic Control,N
DL1011,2026-02-14,ATL,CDG,A220,282,0,None,N
DL1012,2026-02-26,ATL,CDG,A321,288,60,Mechanical,N
DL1013,2026-02-03,ATL,CDG,A350,261,0,None,N
DL1014,2026-02-02,ATL,CDG,B757,238,90,Weather,N
DL1015,2026-02-01,ATL,CDG,A350,296,0,None,N
DL1016,2026-02-16,ATL,CDG,B767,173,0,None,N
DL1017,2026-02-13,ATL,CDG,B767,160,0,None,N
DL1018,2026-02-15,ATL,CDG,B757,280,25,Crew,N
DL1019,2026-02-23,ATL,CDG,B767,237,0,None,N
DL1020,2026-02-05,ATL,CDG,B767,290,35,Weather,N
DL1021,2026-02-09,ATL,CDG,B757,284,120,Air Traffic Control,N
DL1022,2026-02-23,ATL,NRT,A350,307,0,None,N
DL1023,2026-02-15,ATL,NRT,A220,314,0,None,N
DL1024,2026-02-13,ATL,NRT,A321,263,0,None,N
DL1025,2026-02-02,ATL,NRT,B767,252,0,None,N
DL1026,2026-02-04,ATL,NRT,A350,277,15,Mechanical,N
DL1027,2026-02-12,ATL,NRT,B757,178,35,Mechanical,N
DL1028,2026-02-12,ATL,NRT,A321,169,0,None,N
DL1029,2026-02-15,ATL,NRT,B757,227,25,Weather,N
DL1030,2026-02-16,ATL,NRT,B757,275,15,Weather,N
DL1031,2026-02-23,ATL,MEX,A350,304,120,Weather,N
DL1032,2026-02-23,ATL,MEX,B757,182,0,None,N
DL1033,2026-02-25,ATL,MEX,B757,268,0,None,N
DL1034,2026-02-21,ATL,MEX,B767,189,0,None,N
DL1035,2026-02-27,ATL,MEX,A220,191,0,None,N
DL1036,2026-02-16,ATL,MEX,B757,260,15,Crew,N
DL1037,2026-02-07,ATL,MEX,B757,254,0,None,N
DL1038,2026-02-12,ATL,MEX,A321,192,90,Weather,N
DL1039,2026-02-20,ATL,MEX,A321,140,0,None,N
DL1040,2026-02-12,ATL,AMS,A321,191,20,Late Inbound Aircraft,N
DL1041,2026-02-06,ATL,AMS,A321,162,0,None,N
DL1042,2026-02-15,ATL,AMS,B767,180,0,None,N
DL1043,2026-02-05,ATL,AMS,A321,291,0,Cancelled,Y
DL1044,2026-02-26,ATL,AMS,A321,292,0,None,N
DL1045,2026-02-22,ATL,AMS,A350,143,120,Weather,N
DL1046,2026-02-17,ATL,AMS,A350,194,35,Crew,N
DL1047,2026-02-09,ATL,AMS,B757,290,0,None,N
DL1048,2026-02-09,ATL,AMS,B757,155,0,None,N
DL1049,2026-02-15,ATL,AMS,A321,272,0,None,N
DL1050,2026-02-27,ATL,AMS,B767,276,0,None,N
DL1051,2026-02-17,ATL,AMS,A220,186,0,None,N
DL1052,2026-02-01,ATL,AMS,A220,170,25,Air Traffic Control,N
DL1053,2026-02-11,ATL,ICN,A350,263,0,None,N
DL1054,2026-02-18,ATL,ICN,A321,269,15,Crew,N
DL1055,2026-02-18,ATL,ICN,A321,156,0,Cancelled,Y
DL1056,2026-02-11,ATL,ICN,B767,271,0,None,N
DL1057,2026-02-23,ATL,ICN,A220,262,0,None,N
DL1058,2026-02-08,ATL,ICN,A220,206,0,None,N
DL1059,2026-02-07,ATL,ICN,A350,220,20,Air Traffic Control,N
DL1060,2026-02-22,ATL,ICN,B757,179,45,Crew,N
DL1061,2026-02-09,JFK,LHR,A350,196,0,None,N
DL1062,2026-02-13,JFK,LHR,A220,250,35,Weather,N
DL1063,2026-02-13,JFK,LHR,A350,233,60,Weather,N
DL1064,2026-02-11,JFK,LHR,A321,144,0,None,N
DL1065,2026-02-11,JFK,LHR,A350,198,20,Weather,N
DL1066,2026-02-03,JFK,LHR,A321,173,25,Weather,N
DL1067,2026-02-22,JFK,LHR,A220,271,25,Air Traffic Control,N
DL1068,2026-02-16,JFK,LHR,A321,186,15,Crew,N
DL1069,2026-02-03,JFK,LHR,A220,161,20,Crew,N
DL1070,2026-02-08,LAX,ICN,A350,256,0,None,N
DL1071,2026-02-11,LAX,ICN,A220,208,0,None,N
DL1072,2026-02-05,LAX,ICN,B767,168,0,None,N
DL1073,2026-02-09,LAX,ICN,B767,275,45,Mechanical,N
DL1074,2026-02-10,LAX,ICN,B757,209,0,None,N
DL1075,2026-02-26,LAX,ICN,A350,204,0,Cancelled,Y
DL1076,2026-02-01,LAX,ICN,A220,269,0,Cancelled,Y
DL1077,2026-02-07,LAX,ICN,A321,306,90,Weather,N
DL1078,2026-02-22,LAX,ICN,A220,240,0,None,N
DL1079,2026-02-10,LAX,ICN,B767,227,0,None,N
DL1080,2026-02-27,LAX,ICN,A321,175,0,None,N
DL1081,2026-02-12,LAX,ICN,A350,143,0,None,N
DL1082,2026-02-21,LAX,ICN,A321,310,25,Weather,N
DL1083,2026-02-17,LAX,ICN,A321,151,35,Mechanical,N
DL1084,2026-02-06,ORD,CDG,B757,280,60,Late Inbound Aircraft,N
DL1085,2026-02-08,ORD,CDG,B757,195,0,None,N
DL1086,2026-02-06,ORD,CDG,A350,237,0,Cancelled,Y
DL1087,2026-02-16,ORD,CDG,A220,203,0,None,N
DL1088,2026-02-25,ORD,CDG,A350,207,0,Cancelled,Y
DL1089,2026-02-05,ORD,CDG,B767,301,15,Weather,N
DL1090,2026-02-03,ORD,CDG,A220,179,0,None,N
DL1091,2026-02-13,ORD,CDG,B767,266,0,None,N
DL1092,2026-02-10,ORD,CDG,A220,151,0,None,N
DL1093,2026-02-14,ATL,JFK,A220,175,0,None,N
DL1094,2026-02-25,ATL,JFK,A220,144,0,None,N
DL1095,2026-02-26,ATL,JFK,B767,317,0,None,N
DL1096,2026-02-03,ATL,JFK,A321,236,60,Late Inbound Aircraft,N
DL1097,2026-02-18,ATL,JFK,B757,265,120,Mechanical,N
DL1098,2026-02-01,ATL,JFK,A220,163,120,Crew,N
DL1099,2026-02-03,ATL,JFK,B757,159,0,None,N
DL1100,2026-02-08,ATL,JFK,A350,237,90,Air Traffic Control,N
DL1101,2026-02-16,ATL,JFK,B767,304,15,Mechanical,N
DL1102,2026-02-03,ATL,JFK,B757,306,0,None,N
DL1103,2026-02-20,ATL,JFK,A350,312,15,Air Traffic Control,N
DL1104,2026-02-23,ATL,JFK,B757,272,0,None,N
DL1105,2026-02-15,ATL,JFK,B767,280,0,None,N
DL1106,2026-02-03,ATL,LAX,A321,269,90,Weather,N
